OBJECTID,INSTALLED,UPGRADED,INFRA_HIGHORDER
265,2001,NA,Shared Roadways
266,2001,NA,Shared Roadways
267,2001,NA,Shared Roadways
268,2001,2021,Shared Roadways
269,2001,NA,Shared Roadways
270,2001,NA,Shared Roadways
271,2001,NA,Shared Roadways
272,2001,NA,On-Road Lanes
273,2001,2019,On-Road Lanes
274,2001,NA,On-Road Lanes
275,2001,NA,On-Road Lanes
276,2001,NA,Protected Lanes
277,2001,NA,Protected Lanes
278,2001,NA,Protected Lanes
279,2001,NA,Protected Lanes
280,2001,NA,Protected Lanes
281,2001,NA,Protected Lanes
282,2001,NA,Protected Lanes
283,2001,NA,Protected Lanes
284,2001,NA,Protected Lanes
285,2001,NA,Protected Lanes
286,2001,NA,Protected Lanes
287,2001,NA,Protected Lanes
288,2001,NA,Protected Lanes
289,2001,NA,Protected Lanes
290,2001,NA,Shared Roadways
291,2001,NA,Shared Roadways
292,2001,NA,Shared Roadways
293,2001,NA,Shared Roadways
294,2001,NA,Shared Roadways
295,2001,NA,Shared Roadways
296,2001,NA,Shared Roadways
299,2009,NA,Protected Lanes
301,2019,NA,Protected Lanes
302,2019,NA,Protected Lanes
303,2019,NA,Protected Lanes
304,2019,NA,Protected Lanes
305,2019,NA,Protected Lanes
306,2019,NA,Protected Lanes
307,2019,NA,Protected Lanes
308,2019,NA,Protected Lanes
309,2019,NA,Protected Lanes
311,2019,NA,Protected Lanes
312,2018,NA,Protected Lanes
313,2001,NA,Shared Roadways
314,2001,NA,Shared Roadways
315,2001,NA,On-Road Lanes
316,2001,2022,On-Road Lanes
317,2001,NA,On-Road Lanes
318,2001,NA,On-Road Lanes
319,2001,NA,On-Road Lanes
320,2001,2022,Protected Lanes
321,2001,NA,On-Road Lanes
322,2001,NA,Protected Lanes
323,2001,NA,Protected Lanes
324,2001,NA,Shared Roadways
325,2001,2015,Protected Lanes
326,2001,2015,Protected Lanes
327,2001,2015,Protected Lanes
328,2001,NA,Protected Lanes
329,2001,NA,Protected Lanes
330,2001,2017,Shared Roadways
331,2001,2017,Shared Roadways
332,2001,2017,Shared Roadways
333,2001,NA,Shared Roadways
334,2001,NA,Shared Roadways
335,2001,NA,Shared Roadways
336,2001,NA,Shared Roadways
337,2001,NA,Shared Roadways
338,2001,NA,Protected Lanes
339,2001,NA,Protected Lanes
340,2001,NA,Protected Lanes
341,2001,NA,Protected Lanes
342,2001,NA,Protected Lanes
343,2001,NA,Protected Lanes
344,2001,NA,Protected Lanes
345,2001,NA,Protected Lanes
346,2001,NA,Protected Lanes
347,2001,NA,Protected Lanes
348,2001,NA,Protected Lanes
349,2001,NA,Protected Lanes
350,2001,NA,Protected Lanes
351,2001,NA,Protected Lanes
352,2001,NA,Protected Lanes
353,2001,NA,Protected Lanes
354,2001,NA,Protected Lanes
355,2001,NA,Protected Lanes
356,2001,NA,Protected Lanes
357,2001,NA,Protected Lanes
358,2001,NA,Protected Lanes
359,2001,NA,Protected Lanes
360,2001,NA,Protected Lanes
361,2001,NA,Protected Lanes
362,2001,NA,Protected Lanes
363,2001,NA,Protected Lanes
364,2001,NA,Protected Lanes
365,2001,NA,Protected Lanes
366,2001,NA,Protected Lanes
367,2001,NA,Protected Lanes
368,2001,NA,Protected Lanes
369,2001,NA,Protected Lanes
370,2001,NA,Protected Lanes
371,2001,NA,Protected Lanes
372,2001,NA,Protected Lanes
373,2001,NA,Protected Lanes
374,2001,NA,Protected Lanes
375,2001,NA,Protected Lanes
376,2001,NA,Protected Lanes
377,2001,NA,Protected Lanes
378,2001,NA,Protected Lanes
379,2001,NA,Protected Lanes
380,2001,NA,Protected Lanes
381,2001,NA,Protected Lanes
382,2001,NA,Protected Lanes
383,2001,NA,Protected Lanes
384,2001,NA,Protected Lanes
385,2001,NA,Protected Lanes
386,2001,NA,Protected Lanes
387,2001,NA,Shared Roadways
388,2001,NA,Shared Roadways
389,2001,NA,Shared Roadways
390,2001,NA,Shared Roadways
391,2001,NA,Shared Roadways
392,2001,NA,Shared Roadways
393,2001,NA,Shared Roadways
394,2001,2019,On-Road Lanes
395,2001,NA,On-Road Lanes
396,2001,2019,On-Road Lanes
397,2001,NA,On-Road Lanes
398,2001,NA,On-Road Lanes
399,2001,NA,Shared Roadways
400,2001,2023,Protected Lanes
401,2001,2020,On-Road Lanes
402,2001,NA,On-Road Lanes
403,2001,NA,On-Road Lanes
404,2001,NA,On-Road Lanes
405,2001,2020,Protected Lanes
406,2001,NA,On-Road Lanes
407,2001,NA,Protected Lanes
408,2001,NA,Protected Lanes
409,2001,2019,Protected Lanes
410,2001,NA,Protected Lanes
411,2001,NA,Protected Lanes
412,2001,NA,Protected Lanes
413,2001,NA,Protected Lanes
414,2001,NA,Protected Lanes
415,2001,NA,Protected Lanes
416,2001,NA,Protected Lanes
417,2001,NA,Protected Lanes
418,2001,NA,Protected Lanes
419,2001,NA,Protected Lanes
420,2001,NA,Protected Lanes
421,2001,NA,Protected Lanes
422,2001,NA,Protected Lanes
423,2001,NA,Protected Lanes
424,2001,NA,Protected Lanes
425,2001,NA,Shared Roadways
426,2001,NA,Shared Roadways
427,2001,NA,Shared Roadways
428,2001,2004,On-Road Lanes
429,2001,NA,On-Road Lanes
430,2001,2006,Protected Lanes
431,2001,NA,Protected Lanes
432,2001,NA,Protected Lanes
433,2001,NA,Protected Lanes
434,2001,NA,Protected Lanes
435,2001,NA,Protected Lanes
436,2001,NA,Protected Lanes
437,2001,NA,Protected Lanes
438,2001,NA,Protected Lanes
439,2001,NA,Protected Lanes
440,2001,NA,Protected Lanes
441,2001,NA,Protected Lanes
442,2001,NA,Protected Lanes
443,2001,NA,Protected Lanes
444,2001,NA,Protected Lanes
445,2001,NA,Protected Lanes
446,2001,NA,Protected Lanes
447,2001,NA,Protected Lanes
448,2001,2015,Protected Lanes
449,2001,2015,Protected Lanes
450,2001,2015,Protected Lanes
451,2001,2015,Protected Lanes
452,2001,2015,Protected Lanes
453,2001,2015,Protected Lanes
454,2001,2015,Protected Lanes
455,2001,2015,Protected Lanes
456,2001,2015,Protected Lanes
457,2001,2015,Protected Lanes
458,2001,2020,Protected Lanes
459,2001,2015,Protected Lanes
460,2001,2015,Protected Lanes
461,2001,2015,Protected Lanes
462,2001,2015,Protected Lanes
463,2001,2015,Protected Lanes
464,2001,2015,Protected Lanes
465,2001,2015,Protected Lanes
466,2001,2015,Protected Lanes
